OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"2674",519340,10626,Rheden,Velp,Gasthuislaan,"8", ,6883JC,6883JC8,Bij,park en tuinonderdelen,woonfunctie,rijksmonument,hoge kwaliteit, ,"1890","1910", , , ,196003,445343,,Biotoop,
"7261",42145,10449,Rheden,Velp,Biljoen,"1", ,6883JH,6883JH1, ,"kasteel;buitenplaats",woonfunctie,rijksmonument,hoge kwaliteit, ,"1530", , , , ,196595,445541,,Biotoop,
"14454",519443,10927,Rheden,Velp,"Veerweg, Lathumse","5", ,6883DC,6883DC5, ,veerhuis,openbare ruimte en infrastructuur,rijksmonument,hoge kwaliteit, ,"1750","1850", , , ,197289,444642,,Biotoop,
"11359",519339,10625,Rheden,Velp,Gasthuislaan,"8", ,6883JC,6883JC8, ,woonhuis,woonfunctie,rijksmonument,hoge kwaliteit, ,"1825","1850", , , ,196003,445343,,Biotoop,
"13305",0,43087,Rheden,VELP,"Veerweg, Lathumse","6", ,6883JJ,6883JJ6, ,gemaal,waterstaatsfunctie,gemeentelijk monument,middenkwaliteit, ,"1875", ,13-7-2004, ,stoomgemaal met sluis,196847,444752,,Biotoop,
"859",506191,9588,Rheden,Dieren,Kerkallee,"12", ,6882AT,6882AT12,Bij,onbekend,onbekende functie,rijksmonument,hoge kwaliteit, , , , , , ,195233,445128,,Biotoop,
"1061",0,10807,Rheden,Velp,Kastanjelaan,"10", ,6883HZ,6883HZ10, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1865","1875", , , ,195801,445318,,Biotoop,
"1073",0,11339,Rheden,Velp,Zutphensestraatweg,"33", ,6881WV,6881WV33, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1894", , , , ,195802,445536,,Biotoop,
"1008",508075,10317,Rheden,Velp,Arnhemsestraatweg,"13", ,6881NB,6881NB13, ,woonhuis,woonfunctie,rijksmonument,hoge kwaliteit, ,"1860","1870", , , ,194730,445409,,Biotoop,
"1009",0,10319,Rheden,Velp,Arnhemsestraatweg,"17", ,6881NB,6881NB17, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1880", , , , ,194695,445395,,Biotoop,
"1056",0,10736,Rheden,Velp,Hoofdstraat,"208", ,6881TP,6881TP208, ,postkantoor,maatschappelijke functie,gemeentelijk monument,middenkwaliteit, ,"1878", , , , ,195066,445449,,Biotoop,
"1057",0,10738,Rheden,Velp,Hoofdstraat,"21", ,6881TA,6881TA21, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1905","1910", , , ,195465,445434,,Biotoop,
"1062",0,10809,Rheden,Velp,Kastanjelaan,"11", ,6883HZ,6883HZ11, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1865","1870", , , ,195766,445296,,Biotoop,
"1063",0,10976,Rheden,Velp,Overbeeklaan,"14", ,6881HG,6881HG14, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1903", , , , ,195461,445614,,Biotoop,
"1064",0,10984,Rheden,Velp,Overbeeklaan,"5", ,6881HE,6881HE5, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1907", , , , ,195433,445563,,Biotoop,
"1065",0,11049,Rheden,Velp,Poortstraat,"6", ,6881LK,6881LK6, ,stalhouderij,agrarische functie,gemeentelijk monument,middenkwaliteit, ,"1875", , , , ,194902,445517,,Biotoop,
